fname,dir_path,label,split
334147,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Water,train
19000,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,test
153795,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,val
86282,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Animal,train
71741,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,train
416688,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Human_voice,train
359618,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,train
250080,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,train
244526,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Human_voice,train
154318,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,train
202636,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Water,val
414320,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Animal,test
73352,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,train
354332,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,test
200334,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Animal,test
363098,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Water,train
62210,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Animal,train
55938,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,val
35703,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Water,val
31835,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Animal,train
201321,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,test
373964,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,train
126429,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,test
358312,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,test
185057,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.eval_audio,Water,test
184000,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,train
112803,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,train
231298,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.eval_audio,Water,train
100895,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.eval_audio,Human_voice,train
223146,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Music,train
174628,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.eval_audio,Water,test
119946,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Vehicle,test
165128,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Animal,train
391841,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Animal,train
137909,/content/drive/MyDrive/colab_notebooks/deep_learning/deep_learning_project/FSD50K/FSD50K.dev_audio,Human_voice,train
